x_value,y_value1,y_value2,y_value3
0,293.65,1847.84,15.61
1,293.65,1847.84,15.61
2,293.65,1847.84,15.61
3,293.65,1847.84,15.61
4,293.65,1847.84,15.61
5,293.65,1847.84,15.61
6,293.65,1847.84,15.61
7,293.65,1847.84,15.61
8,293.65,1847.84,15.61
9,293.65,1847.84,15.61
10,293.65,1847.84,15.61
11,293.65,1847.84,15.61
12,293.65,1847.84,15.61
13,293.65,1847.84,15.61
14,293.65,1847.84,15.61
15,293.65,1847.84,15.61
16,293.65,1847.84,15.61
17,293.65,1847.84,15.61
18,293.65,1847.84,15.61
19,293.65,1847.84,15.61
20,293.65,1847.84,15.61
21,293.65,1847.84,15.61
22,293.65,1847.84,15.61
23,293.65,1847.84,15.61
24,293.65,1847.84,15.61
25,293.65,1847.84,15.61
26,293.65,1847.84,15.61
27,293.65,1847.84,15.61
28,293.65,1847.84,15.61
29,293.65,1847.84,15.61
30,293.65,1847.84,15.61
31,293.65,1847.84,15.61
32,293.65,1847.84,15.61
33,293.65,1847.84,15.61
34,293.65,1847.84,15.61
35,293.65,1847.84,15.61
36,293.65,1847.84,15.61
37,293.65,1847.84,15.61
38,293.65,1847.84,15.61
39,293.65,1847.84,15.61
40,293.65,1847.84,15.61
41,293.65,1847.84,15.61
42,293.65,1847.84,15.61
43,293.65,1847.84,15.61
44,293.65,1847.84,15.61
45,293.65,1847.84,15.61
46,293.65,1847.84,15.61
47,293.65,1847.84,15.61
48,293.65,1847.84,15.61
49,293.65,1847.84,15.61
50,293.65,1847.84,15.61
51,293.65,1847.84,15.61
52,293.65,1847.84,15.61
53,293.65,1847.84,15.61
54,293.65,1847.84,15.61
55,293.65,1847.84,15.61
56,293.65,1847.84,15.61
57,293.65,1847.84,15.61
58,293.65,1847.84,15.61
59,293.65,1847.84,15.61
60,293.65,1847.84,15.61
61,293.65,1847.84,15.61
62,293.65,1847.84,15.61
63,293.65,1847.84,15.61
64,293.65,1847.84,15.61
65,293.65,1847.84,15.61
66,293.65,1847.84,15.61
67,293.65,1847.84,15.61
68,293.65,1847.84,15.61
69,293.65,1847.84,15.61
70,293.65,1847.84,15.61
71,293.65,1847.84,15.61
72,293.65,1847.84,15.61
73,293.65,1847.84,15.61
74,293.65,1847.84,15.61
75,293.65,1847.84,15.61
76,293.65,1847.84,15.61
77,293.65,1847.84,15.61
78,293.65,1847.84,15.61
79,293.65,1847.84,15.61
80,293.65,1847.84,15.61
81,293.65,1847.84,15.61
82,293.65,1847.84,15.61
83,293.65,1847.84,15.61
84,293.65,1847.84,15.61
85,293.65,1847.84,15.61
86,293.65,1847.84,15.61
87,293.65,1847.84,15.61
88,293.65,1847.84,15.61
89,293.65,1847.84,15.61
90,293.65,1847.84,15.61
91,293.65,1847.84,15.61
92,293.65,1847.84,15.61
93,293.65,1847.84,15.61
94,293.65,1847.84,15.61
95,293.65,1847.84,15.61
96,293.65,1847.84,15.61
97,293.65,1847.84,15.61
98,293.65,1847.84,15.61
99,293.65,1847.84,15.61
100,293.65,1847.84,15.61
101,293.65,1847.84,15.61
102,293.65,1847.84,15.61
103,293.65,1847.84,15.61
104,293.65,1847.84,15.61
105,293.65,1847.84,15.61
106,293.65,1847.84,15.61
107,293.65,1847.84,15.61
108,293.65,1847.84,15.61
109,293.65,1847.84,15.61
110,293.65,1847.84,15.61
111,293.65,1847.84,15.61
112,293.65,1847.84,15.61
113,293.65,1847.84,15.61
114,293.65,1847.84,15.61
115,293.65,1847.84,15.61
116,293.65,1847.84,15.61
117,293.65,1847.84,15.61
118,293.65,1847.84,15.61
119,293.65,1847.84,15.61
120,293.65,1847.84,15.61
121,293.65,1847.84,15.61
122,293.65,1847.84,15.61
123,293.65,1847.84,15.61
